day,month,year,traffic_source,total_sessions,unique_transactions,transaction_revenue,transaction_total,active_users,cost,clicks,impressions
11,1,2021,google,40992,266,5526.75,5876.58,213,492.67,19959,1007128
2,5,2021,google,47654,536,10363,11131.43,353,638.4,21150,1122062
5,4,2020,google,36350,219,4413.75,4685.84,143,668.35,18479,1013526
9,11,2021,google,62497,185,3968,4189.26,157,1687.17,27904,2030069
9,11,2020,google,60591,510,13669.6,14258.63,362,747.27,24047,1033789
22,1,2020,google,40865,189,5798.75,5939.28,138,518.03,19318,975288
9,4,2021,google,32473,140,2494.75,2724.98,89,456.46,16146,1030686
13,12,2021,google,77857,863,23086.63,23908.88,586,419.68,32034,1782489
18,4,2020,google,32879,245,4816.26,5190.01,154,552.74,14951,704643
4,5,2020,google,45543,435,10623.9,11072.4,302,664.19,20066,967347
18,12,2020,google,62276,284,6528,6865.87,220,832.77,42940,2056318
17,4,2020,google,30323,248,5189.25,5533.1,167,477.55,13001,636425
20,1,2020,google,49241,344,10193.45,10438.63,256,564.73,21081,943985
18,4,2021,google,36840,225,4712.5,5035.42,144,564.87,17980,1225171
7,11,2021,google,59572,131,2626.75,2794.19,107,1393.73,26877,1387279
18,5,2021,google,44929,411,9861.5,10157.51,271,628.09,21657,1263127
15,12,2021,google,83239,1190,31236.36,32360.6,803,438.19,36312,2055043
21,1,2021,google,48789,152,4256.5,4444.87,115,499.6,26651,1227960
13,6,2020,google,51171,505,10378.75,11006.65,346,948.91,29006,1421511
10,5,2021,google,57285,575,12672.96,13369.63,382,1025.74,28362,1733844
21,7,2020,google,43829,379,8184.5,8656.92,257,733.73,21933,1134190
20,1,2021,google,50297,167,4627.25,4839.54,134,482.31,29544,1438315
27,6,2020,google,39006,342,7886.01,8232.85,226,498.11,12374,728438
27,1,2021,google,44349,165,4423.5,4602.9,130,515.3,21230,1003342
10,6,2020,google,50762,368,10154.25,10462.22,249,880.9,25142,1439731
5,5,2020,google,50384,616,18520.75,19082.87,420,710.64,22191,1086569
4,4,2020,google,42140,258,5883.5,6206.42,187,687.08,19759,1005106
1,12,2021,google,43428,365,12182.5,12469.54,246,321.41,13453,748173
8,9,2021,google,35549,339,7758.95,8204.46,229,389.06,12895,621859
25,6,2021,google,38486,395,7652.38,8085.93,261,420.09,15006,787724
28,1,2021,google,48013,188,4333.5,4503.93,155,486.68,24139,1167258
26,5,2021,google,49652,556,10644.25,11340.92,384,656.68,20853,1019161
4,5,2021,google,55846,547,11092.5,11792.16,362,883.12,26083,1420017
1,9,2021,google,32272,344,7033,7526.35,234,384.08,12693,629007
13,1,2021,google,44748,177,4346.7,4547.03,140,614.06,23002,1066609
5,12,2020,google,62178,217,4923,5204.06,158,863.29,40123,2223642
15,9,2021,google,31592,335,7953.78,8294.64,225,280.43,9471,358066
24,12,2021,google,64538,642,19051.7,19574.95,427,649.33,27994,1616493
26,12,2021,google,64849,682,19297.72,19922.63,450,658.45,29249,1552502
16,9,2021,google,32850,337,9038,9399.79,245,279.66,10002,364768
28,12,2021,google,65388,660,19437.81,20020.86,446,827.4,29628,4223835
20,2,2021,google,44423,93,1948.5,2065.11,64,475.3,24398,1688076
3,4,2020,google,35494,233,5396.5,5674.57,163,634.05,18153,1069396
6,4,2021,google,32106,132,3015.25,3185.68,96,468.56,16000,1278391
21,1,2020,google,46571,309,10551.75,10755.07,222,582.83,21327,1022873
19,4,2021,google,40099,248,4935.75,5276.61,168,621.45,19010,1358509
29,9,2021,google,34647,310,8448.75,8753.73,212,302.84,11428,519953
12,6,2020,google,54128,500,11098.25,11681.3,368,980,32369,1525452
30,7,2021,google,22995,209,4274.25,4528.4,140,239.83,7541,386900
4,12,2020,google,46179,159,3681.5,3884.82,110,636.55,27391,1472843
12,12,2021,google,84258,1005,27794.13,28741.96,674,506.37,39631,2253013
27,12,2021,google,77564,768,21051.02,21762.64,492,826.8,39614,2471941
9,9,2021,google,35809,359,9244.63,9675.19,241,419.5,13698,665313
19,5,2020,google,54332,433,10012,10526.28,295,910.78,29674,1711702
6,5,2020,google,55610,644,17178.25,17851,424,784,24682,1225429
16,4,2020,google,33250,320,7186.25,7574.95,216,518.39,14646,725507
19,9,2021,google,30299,304,7426.88,7752.79,208,283.37,10136,387296
7,4,2020,google,34033,383,7206.13,7753.3,265,605.22,16554,920111
2,12,2020,google,51101,197,4083.88,4391.85,139,769.86,29628,1553592
2,11,2021,google,44746,119,3077.95,3206.52,102,517.22,16112,898280
7,5,2020,google,56533,639,15737.5,16440.15,429,881.12,27180,1387551
25,5,2021,google,50078,510,10892.75,11442.91,346,696.62,21262,1160906
3,11,2021,google,41521,90,1989.25,2093.9,77,512.58,15155,768794
5,4,2021,google,32473,133,3414.75,3528.37,87,423.07,15249,1203719
10,12,2021,google,89440,767,19971.76,20817.93,509,807.48,47148,3030542
30,10,2020,google,48551,336,6444.5,6937.85,241,635.05,24216,1117691
27,5,2021,google,50988,608,11268.5,12060.85,409,668.65,21097,787114
10,6,2021,google,38797,406,8688.89,9029.75,269,405.95,15546,843725
9,9,2020,google,32608,258,4841.95,5185.8,178,611.74,14921,737099
23,7,2021,google,17857,145,3417,3566.5,96,108.27,4835,126906
20,7,2020,google,49205,318,6445.75,6855.38,204,982.6,25936,1349166
13,9,2020,google,35075,167,2942,3184.19,129,728.93,18661,795237
2,12,2021,google,51343,426,11050.23,11409.03,289,594.45,21797,1754287
15,6,2020,google,51930,557,14115.5,14602.87,369,873.9,25151,1351175
1,6,2020,google,48236,337,8845.5,9171.41,224,770.08,24291,1368707
2,9,2021,google,34316,340,7204.3,7667.75,234,456.83,14042,663983
26,6,2020,google,48219,409,10190.48,10618.05,280,756.42,19471,1257499
8,3,2020,google,50096,178,4776.75,4953.16,118,732.72,28222,1389259
8,5,2020,google,57154,706,19797.25,20481.96,503,834.92,27143,1408786
6,12,2020,google,61480,201,5204.5,5458.65,137,804.36,41361,2210508
23,7,2020,google,42293,359,8034.63,8366.52,254,713.8,21911,1079077
7,12,2020,google,76204,222,4716.35,5048.24,159,1118.95,49264,2730060
24,2,2020,google,50314,348,9240.25,9572.14,244,650.74,23352,1121187
3,12,2020,google,47305,217,4614,4936.92,160,646.49,27333,1594969
23,1,2021,google,45712,121,2487.5,2657.93,89,544.36,26748,1328415
11,5,2021,google,46108,530,11625.75,12313.45,356,823.18,20987,1248346
2,4,2020,google,36376,299,7285.75,7611.66,213,665.17,19482,1143189
26,1,2021,google,44835,162,3082,3333.16,127,495.45,24697,1079341
31,7,2021,google,21016,236,4765.3,5091.21,161,239.43,7484,390620
4,4,2021,google,33045,157,3081.25,3305.5,116,423.8,15818,1032466
23,12,2021,google,64114,739,21232.17,21842.13,497,554,24279,1516872
11,2,2021,google,38993,105,2660.25,2770.88,64,421.98,20372,1129121
26,9,2020,google,34844,210,4609.5,4878.6,148,591.11,17705,881810
5,11,2021,google,49438,112,2854.75,2971.36,91,1085.61,21826,1185869
1,4,2020,google,37330,305,7179.75,7493.7,231,687.49,20438,1302617
16,12,2020,google,75000,321,8347.6,8736.3,249,943.81,50984,2729617
8,8,2021,google,24951,250,5089.5,5460.26,179,278.96,8403,368929
19,4,2020,google,35202,333,6159.48,6607.98,219,552.66,15805,746081
14,11,2020,google,59429,227,5768.38,6019.54,149,914.28,37356,2220586
17,11,2021,google,43115,590,17622.26,18058.8,410,409.76,12714,638525
9,5,2021,google,52884,547,11127,11877.49,361,1058.17,26870,1398900
9,12,2021,google,99656,880,21377.51,22427,561,976.09,58263,3682022
22,5,2020,google,50576,327,7920.75,8294.5,236,946.29,27947,1583568
18,11,2021,google,40219,421,13853.68,14152.68,270,321.22,10937,517939
14,9,2020,google,33332,221,4916.5,5206.53,145,631.41,15542,760428
20,12,2020,google,64833,343,8316.7,8699.42,262,953.88,45538,2393826
14,4,2020,google,36386,352,7945.4,8343.07,243,532.09,15245,753990
4,1,2020,google,44530,291,10508.75,10697.12,198,414.29,22606,1030825
7,4,2021,google,33069,176,3337.5,3624.54,119,500.74,14761,954890
30,8,2021,google,33124,385,7724.63,8283.76,269,356.48,12202,639892
6,9,2021,google,35138,372,7593,8092.33,257,394.3,12887,597062
20,6,2021,google,49218,807,14841.13,15824.84,548,651.66,20374,990244
15,4,2020,google,36013,328,7609.55,7998.25,224,564.37,16057,814618
13,5,2021,google,33948,326,6505,6947.52,211,483.37,13890,679663
22,1,2021,google,43220,140,3827.26,3979.75,110,427.03,24453,1170567
31,1,2020,google,44169,272,8660.75,8864.07,209,626.27,19036,980520
24,6,2020,google,48662,320,8254.13,8532.2,221,892.92,25184,1618557
4,11,2021,google,45204,112,2271.45,2420.95,100,617.73,16496,691834
4,6,2021,google,35179,290,5729.13,6093.91,193,347.56,13353,567360
9,3,2020,google,51781,348,9644.25,9922.32,246,680.98,26181,1312273
31,10,2020,google,46480,316,5551.75,6024.17,216,614.94,24164,937198
27,11,2020,google,118430,1002,23144.55,24475.1,708,4101.87,79381,4422115
10,7,2021,google,30234,202,3926.38,4189.5,132,350.51,12475,630256
24,12,2020,google,45322,280,5826.5,6248.09,224,765.09,18886,901288
8,12,2021,google,73367,750,21903.65,22585.37,535,669.25,40142,2524484
20,10,2021,google,40393,378,9610.54,9963.36,259,422.49,13978,613810
18,9,2021,google,30234,307,7571.65,7915.5,203,281.94,10449,375515
19,11,2021,google,47560,412,12381.6,12710.5,270,459.75,14289,678200
19,1,2021,google,49308,166,3804.78,4023.05,139,571.04,26777,1259462
19,1,2020,google,50104,289,8980.63,9174.98,204,589.11,24338,1061411
9,8,2021,google,27207,256,5376.14,5708.03,182,259.68,8184,382766
18,1,2020,google,49140,283,9234.13,9365.69,197,552.59,22703,1040514
28,6,2020,google,40675,407,10108.5,10539.06,281,472.2,12865,746062
28,5,2021,google,54435,589,10804.38,11504.04,409,853.03,25300,1201912
17,12,2020,google,64434,387,8541.25,9010.68,320,783.41,42299,1995301
21,5,2020,google,52260,337,7910.25,8325.86,227,1026.83,29959,1792044
21,3,2021,google,35783,158,4112.75,4274.21,110,329.98,15244,858023
17,1,2020,google,44859,312,10243,10422.4,231,537.75,20481,1000754
8,1,2021,google,38418,174,4991.45,5170.85,139,447.2,20073,970791
27,9,2020,google,33648,229,5147.25,5419.34,154,583.49,16662,752497
31,3,2020,google,36357,285,6959.43,7264.41,207,676.44,20288,1215722
11,12,2021,google,77035,704,18782.86,19440.66,470,594.07,39772,2419779
31,8,2021,google,33429,441,8452.88,9116.66,315,341.73,12451,714896
23,1,2020,google,41682,234,8787.75,8916.32,180,609.02,19316,980474
17,6,2021,google,42131,594,11800.88,12452.7,394,550.19,17285,990429
2,6,2021,google,42814,383,7243.63,7722.03,263,490.73,17572,948815
26,2,2021,google,39762,216,3660.75,4022.54,145,453.97,20414,1002157
12,2,2021,google,36619,98,2560,2655.68,62,456.3,18821,970437
4,1,2021,google,38692,202,4855.9,5101.08,174,323.26,18219,792576
2,6,2020,google,48541,307,7815,8057.19,202,874.08,25478,1484022
28,11,2020,google,106010,557,14697.25,15408.87,383,2335.42,78347,3894714
19,12,2021,google,63393,642,22018.64,22485.08,431,459.46,27011,2213329
18,1,2021,google,49309,163,3889.88,4096.19,123,396.83,27879,1326599
21,2,2020,google,54216,245,6292,6537.18,178,809.82,25923,1550276
30,6,2020,google,34179,534,11035.3,11797.75,366,134.99,3501,189107
25,7,2021,google,21561,160,3131.85,3329.19,108,170.49,6766,224397
7,8,2020,google,36009,236,4907.7,5191.75,166,644.94,19635,830631
25,2,2021,google,44691,189,3359.5,3634.58,130,453.55,22924,1366180
24,5,2020,google,49027,294,6574.5,6927.32,190,920.47,27940,1514562
22,2,2020,google,50261,226,5939.25,6184.43,144,728.33,25504,1548075
19,9,2020,google,36726,249,5655.75,5981.66,172,733.23,21005,1128922
22,7,2020,google,41971,357,8446.75,8793.59,233,723.67,21300,1026566
15,1,2020,google,40968,330,10246.25,10479.47,254,528.1,19684,1015231
13,11,2020,google,85212,273,6271,6602.89,175,1613.8,59776,3258728
29,9,2020,google,51892,535,10094.5,10898.81,366,989.65,24963,1600791
26,6,2021,google,33768,340,6886.63,7257.39,224,434.22,14093,732462
16,6,2020,google,48070,532,12730.75,13271.94,361,859.59,22875,1226130
27,2,2021,google,46522,238,3793.25,4217.83,157,467.17,23566,1217522
4,9,2021,google,31846,323,7560.5,7949.2,220,372.8,12679,585614
16,11,2020,google,45597,282,6822,7046.25,189,426.88,20955,1021196
20,3,2021,google,34737,162,3597.5,3797.83,112,410.63,16006,848245
19,8,2020,google,34805,320,7271.5,7621.33,227,785.46,23116,1206340
26,5,2020,google,52333,320,6924.01,7324.67,210,898.91,29560,1610027
6,10,2020,google,40426,274,5400,5776.74,174,854.49,20385,1045492
25,5,2020,google,52896,267,5892.88,6215.8,176,966.32,30652,1707100
7,10,2020,google,40046,240,4899,5200.99,178,779.19,19707,1042393
19,5,2021,google,43345,486,12524.77,12826.76,310,664.12,20602,999562
4,11,2020,google,47166,198,4662.79,4899,122,605.9,23947,1127342
28,9,2020,google,45840,433,8878.5,9476.5,302,743.81,20338,1065107
19,6,2021,google,41512,645,12690.25,13401.87,441,549.85,17658,807440
31,10,2021,google,43317,407,11695.51,12036.37,270,637.19,17622,2395965
12,5,2020,google,51690,498,11351,11966.94,323,844.83,26616,1440226
14,6,2020,google,47781,398,8812.5,9261,263,915.28,25755,1378893
22,12,2020,google,63844,357,7474.13,7955.52,279,1052.6,36103,1899542
9,8,2020,google,30275,187,4454,4651.34,117,504.26,17091,767251
14,2,2021,google,35306,94,1907.13,2026.73,63,398.83,18226,884852
12,9,2020,google,34138,204,4538.36,4786.53,135,729.89,18596,844300
17,11,2020,google,41053,191,4863.75,5034.18,125,386.54,18722,1137435
15,1,2021,google,40240,144,4117.25,4248.81,110,457.58,21044,1062621
8,8,2020,google,31811,227,4856,5113.14,151,546.09,17654,763215
5,1,2021,google,40157,194,4359.15,4616.29,157,359.84,18770,920922
9,10,2020,google,48762,308,6335.25,6735.91,199,885.63,24275,1662703
16,1,2020,google,44462,266,8672.25,8893.51,202,560.53,20273,993639
7,12,2021,google,72192,643,21860.63,22413.78,421,705.72,40768,2461670
5,9,2020,google,35765,265,5376.75,5717.61,180,662.26,17431,769296
6,5,2021,google,61222,694,13646,14641.67,452,1107.98,29129,1637200
9,5,2020,google,58964,728,18751.13,19444.81,486,892.6,29309,1566415
29,11,2020,google,103290,492,12330.38,12937.35,349,2255.11,79833,4773851
7,1,2021,google,38305,190,4695.75,4887.11,149,422.02,18977,913987
20,2,2020,google,48062,388,10457.14,10750.16,278,741.16,23647,1214631
3,6,2021,google,35400,331,6309.88,6743.43,207,384.59,12321,539527
18,11,2020,google,38669,162,4324.5,4521.84,124,415.74,18860,1028568
30,3,2021,google,29754,135,3520.75,3670.25,87,304.87,12687,810757
3,11,2020,google,45612,216,5845.63,6111.74,151,618.16,24556,1567367
6,8,2020,google,38831,327,6742.7,7203.16,213,616.03,19160,871909
14,1,2020,google,39674,209,6657,6785.57,159,490.65,18504,939717
1,1,2020,google,41317,211,6574.25,6750.66,148,397.69,21105,1095471
3,9,2021,google,34261,343,7024,7469.51,235,395.94,12832,633740
16,11,2021,google,43111,393,10849.16,11139.19,277,491.19,13564,773306
18,7,2020,google,53408,568,11324.88,11955.77,368,1138.61,28842,1205397
25,2,2020,google,45757,202,5667.13,5864.47,130,609.67,23673,1261016
21,12,2020,google,80690,563,12927.38,13680.86,453,1690.93,59820,2977447
26,3,2020,google,35032,280,7055.68,7396.54,197,772.85,20088,1312821
1,9,2020,google,38101,319,5971,6479.3,218,593.3,16793,869223
26,10,2021,google,42648,319,8866.75,9135.85,222,468.66,16627,683980
14,5,2021,google,35970,364,7440,7954.28,247,468.17,14419,701550
28,1,2020,google,41007,218,6368.25,6547.65,156,479,19460,945811
21,2,2021,google,38520,100,2144,2281.54,65,470.23,21562,1239009
11,7,2021,google,30727,206,3716.25,4018.24,134,377.7,13264,672031
26,7,2021,google,24176,220,4486.75,4728.94,154,226.61,7539,310167
14,5,2020,google,102859,1611,37902.69,39176.43,1081,1953.03,50161,2466282
22,7,2021,google,16626,134,3790.25,3939.75,93,110.02,4777,125117
22,2,2021,google,35336,106,2571,2711.53,72,370.13,15887,1016725
27,3,2020,google,37088,331,7928.05,8268.91,245,708.93,20444,1304875
10,2,2020,google,57762,303,8152.39,8394.58,218,996.31,29934,1495051
14,1,2021,google,45014,179,4608.75,4835.99,139,606.52,24272,1087648
28,2,2021,google,42236,292,4780,5321.19,190,387.52,18964,977722
18,6,2021,google,44744,727,15073.13,15766.81,489,598.18,17702,1011434
11,2,2020,google,55609,281,8373.73,8583.03,187,951.05,28169,1396814
29,5,2020,google,46273,385,9459.01,9889.57,274,832.66,24709,1368875
4,7,2020,google,35891,246,5481.75,5711.98,156,715.8,19951,1078152
26,10,2020,google,43407,276,5616.75,6023.39,195,627.51,20855,1099774
26,12,2020,google,45010,235,5284.5,5598.45,182,482.28,21742,824061
10,8,2021,google,31100,303,6979.25,7323.1,219,283.61,8491,388776
29,6,2020,google,47162,474,10503,11092.03,333,381.8,10159,500006
8,10,2020,google,48304,312,7384.13,7719.01,225,998.15,24406,1324092
1,1,2021,google,31707,135,3229.55,3420.91,101,355.28,14890,681338
18,12,2021,google,62736,600,22673.08,23088.69,397,478.93,27341,2185714
1,11,2020,google,50410,199,4324,4605.06,137,697.06,29283,1006932
11,1,2020,google,46180,247,7650.75,7848.09,171,601.59,23575,1142908
3,12,2021,google,52598,465,13948.58,14343.26,307,560.95,22439,1883167
30,3,2020,google,37809,284,7523.78,7810.82,204,712.76,20660,1311079
10,5,2020,google,52756,602,16175.75,16779.73,408,798.05,26516,1397405
1,6,2021,google,37416,287,6284.51,6577.53,205,396.11,13232,789843
12,5,2021,google,40998,387,7463.75,7989.99,258,679.07,18757,1236601
28,6,2021,google,37063,389,6735.76,7253.03,267,421.59,14570,697126
13,1,2020,google,45190,267,8531.25,8725.6,195,538.17,21258,988061
13,6,2021,google,45647,542,10346.44,10938.46,371,545.85,19626,979434
2,11,2020,google,47348,219,5617.75,5892.83,148,683.92,25898,1500188
2,1,2020,google,52398,367,13169.32,13375.63,268,469.07,22612,945364
15,11,2020,google,53589,265,5948.75,6295.59,179,662.11,30347,1354652
8,12,2020,google,93307,325,7351.1,7769.7,221,1373.43,66754,3624277
29,4,2020,google,39882,348,8328.25,8743.86,224,650.03,19599,1091166
12,7,2021,google,32002,281,5837.75,6151.7,187,335.84,10637,505235
29,1,2020,google,41911,202,6874,6984.63,150,576.76,20513,994937
27,5,2020,google,45916,276,6391.5,6693.49,192,772.55,23031,1156000
29,6,2021,google,39056,416,6887.88,7497.84,279,450.63,14903,845607
2,9,2020,google,37898,354,8687.15,9069.87,249,572.95,16705,954719
11,5,2020,google,50207,432,9785.75,10285.08,308,774.05,24392,1293332
17,9,2021,google,32876,348,8327.38,8757.94,242,283.59,10606,420795
6,2,2021,google,39522,85,2077,2166.7,70,449.99,23051,1229052
24,2,2021,google,37118,147,3174.75,3416.94,107,404.53,18860,1209075
28,5,2020,google,48866,387,9143.63,9571.2,278,884.59,25474,1436344
3,1,2021,google,28589,132,2450.8,2651.13,102,245.83,12433,707335
3,9,2020,google,37196,289,6430,6782.82,189,716.82,18502,996761
5,5,2021,google,57595,605,11945,12797.15,400,936.15,25624,1496252
16,1,2021,google,51772,176,4579.75,4798.02,135,590.29,30351,1461453
19,11,2020,google,45996,248,5578.5,5856.57,175,518.11,21410,1076022
13,12,2020,google,117343,434,8880.75,9496.69,281,1729.19,92807,4963959
11,6,2021,google,38188,417,8814.25,9161.09,266,458.06,15379,824267
11,12,2020,google,112395,441,8890.5,9494.48,309,1764.37,85994,4181587
17,7,2021,google,21539,180,3696.75,3915.02,118,119.39,5738,159003
3,7,2021,google,32337,246,4348,4676.9,186,420.65,13947,741392
12,3,2020,google,42461,306,9082.75,9292.05,219,679.92,20812,1298625
27,1,2020,google,41339,281,8529.38,8693.83,210,485.18,19494,909591
5,8,2020,google,38256,346,6221.5,6753.72,241,557.1,18611,902978
24,7,2021,google,19622,158,4162.75,4324.21,111,112.84,5307,138609
15,6,2021,google,42275,443,7972.25,8537.36,294,472.52,16910,912454
17,1,2021,google,48449,186,4700.78,4922.04,141,516.56,26045,1284255
13,5,2020,google,88551,1501,37309.38,38621.99,986,1453.75,40582,2031526
6,11,2020,google,52503,325,7161,7648.37,231,539.14,21649,1008354
5,6,2021,google,33091,303,5992.63,6294.62,198,335.83,13234,650880
12,1,2020,google,50135,266,9006.25,9176.68,182,597.19,25212,1181043
29,1,2021,google,43586,187,4282.75,4492.05,155,571.65,21903,1184399
30,9,2021,google,35666,383,10952.44,11317.22,290,297.67,11512,509600
20,7,2021,google,14504,84,1758.5,1857.17,53,93.61,4056,117747
25,8,2021,google,32053,323,6325.9,6813.27,217,386.48,11869,595983
21,7,2021,google,15042,98,2204,2308.65,67,102.55,4265,108462
17,2,2020,google,48507,328,9343.2,9591.37,237,906.94,24331,871907
12,10,2021,google,40576,387,11071.43,11430.23,263,415.08,13717,584954
10,8,2020,google,35153,255,5532.75,5837.73,163,557.81,20390,928712
31,3,2021,google,29876,140,3457.25,3600.77,101,314.32,12715,786719
12,8,2020,google,37927,298,6280.25,6642.04,211,589.91,24619,984034
26,1,2020,google,37579,155,5120.35,5204.07,110,477.86,19370,908319
10,2,2021,google,38360,117,3407,3532.58,84,477.07,19892,1003535
13,10,2021,google,39853,366,11555.93,11890.81,245,391.05,12789,562761
6,12,2021,google,64139,594,17597.5,18144.67,401,573.79,32370,2029532
12,6,2021,google,37361,394,7774.63,8196.22,267,442.26,16263,852210
7,5,2021,google,64640,690,15090,15984.01,437,1311.79,31556,2004803
7,7,2020,google,41357,459,10399.58,10839.11,314,836.46,19389,1130951
29,10,2020,google,53459,393,6951.75,7570.68,264,679.49,25062,1057388
21,4,2021,google,37108,314,6741.63,7106.41,195,573.82,16069,897966
25,12,2020,google,42554,290,6097.75,6528.31,238,488,19283,945270
12,12,2020,google,102802,485,10773.43,11434.22,324,1763.34,79706,4521569
3,5,2021,google,53401,543,10718.75,11463.26,337,776.29,24646,1469357
19,12,2020,google,67814,296,7458,7789.89,228,898.05,49191,2453973
7,2,2021,google,41826,76,1832.25,1918.96,59,611.52,25558,1515209
4,9,2020,google,36758,280,6009.13,6391.85,188,666.38,17238,957585
5,7,2020,google,37606,314,7775.25,8119.1,219,770.33,20805,1100557
23,12,2020,google,38208,279,6826.16,7184.96,235,237.59,8281,514385
30,10,2021,google,42018,344,10993.76,11253.89,231,762.45,17283,3364582
12,8,2021,google,26941,216,5523.75,5762.95,148,350.02,9513,432760
13,3,2021,google,31806,120,3295,3426.56,67,301.22,14572,788924
13,10,2020,google,47702,290,5547.75,5942.43,203,911.16,25466,1486096
27,6,2021,google,39317,493,8949.25,9622,343,464.01,15813,816647
29,3,2021,google,29741,131,3816.25,3893.99,78,265.98,11723,684926
14,6,2021,google,40611,406,8274.38,8681.02,271,418.05,15574,784092
6,7,2020,google,40094,284,6461,6774.95,194,786.51,19726,1023128
27,3,2021,google,27547,115,3070.5,3169.17,77,273.84,11812,645212
5,12,2021,google,57514,532,15127.84,15576.34,351,548.83,27370,1858856
12,10,2020,google,48349,333,6553.8,7020.24,229,827.4,24972,1521962
8,5,2021,google,51217,533,10707,11457.49,346,1010.57,24963,1283407
20,11,2020,google,51212,267,6779.7,7081.69,185,581.04,24553,1055724
2,10,2020,google,47817,366,7039.3,7517.7,254,851.1,23472,1736576
30,4,2020,google,55026,500,11544.9,12068.15,335,750.13,23590,1234724
15,10,2020,google,50420,319,5332.75,5811.15,215,921.43,26392,1355104
28,3,2021,google,29663,131,3624.5,3738.12,104,289.7,12983,745295
15,2,2021,google,34711,93,2624.75,2732.39,68,418.8,17340,735542
2,2,2020,google,40644,170,5583.75,5709.33,117,507.83,20177,895285
27,10,2020,google,41427,233,5215.5,5511.51,163,620.18,20636,1065405
4,12,2021,google,57087,412,11762.29,12127.07,268,616.96,26049,2064903
17,9,2020,google,35139,214,4496.3,4759.42,158,665,17179,887070
28,10,2020,google,41665,276,5473.25,5844.01,191,557.99,19904,1058848
19,7,2020,google,51933,445,8830,9401.09,270,1188.66,30431,1394871
23,3,2020,google,34644,185,4580.75,4793.04,132,840.02,20702,1512105
24,11,2020,google,95094,483,11367.25,11944.32,334,2088.94,59337,2714663
