day,total_sessions,traffic_source,traffic_medium,device_category
2020-01-02,2,instagram,organic_social,tablet
2020-01-02,378,google,organic,tablet
2020-01-02,8,m.facebook.com,referral,desktop
2020-01-02,1,m.facebook.com,referral,tablet
2020-01-03,54,m.facebook.com,referral,mobile
2020-01-03,14,email,crm,tablet
2020-01-03,5468,google,cpc,desktop
2020-01-03,5285,rtbhouse,cpc,desktop
2020-01-03,2,l.instagram.com,referral,desktop
2020-01-03,11,dv360,cpm,mobile
2020-01-03,1,youtube.com,referral,mobile
2020-01-03,24,rtbhouse,cpc,tablet
2020-01-03,15,l.facebook.com,referral,desktop
2020-01-03,131,dv360,cpm,desktop
2020-01-03,267,google,cpc,tablet
2020-01-03,3,dv360,cpm,tablet
2020-01-03,10,l.facebook.com,referral,mobile
2020-01-03,55,instagram,organic_social,mobile
2020-01-03,6144,meta,cpc,mobile
2020-01-03,912,email,crm,mobile
2020-01-03,2,l.instagram.com,referral,tablet
2020-01-03,16813,google,cpc,mobile
2020-01-03,112,l.instagram.com,referral,mobile
2020-01-03,347,google,organic,tablet
2020-01-03,528,email,crm,desktop
2020-01-03,94,instagram.com,referral,mobile
2020-01-03,2,youtube,cpv,mobile
2020-01-03,2176,rtbhouse,cpc,mobile
2020-01-03,7,m.facebook.com,referral,desktop
2020-01-03,14253,google,organic,mobile
2020-01-03,259,meta,cpc,desktop
2020-01-03,9006,google,organic,desktop
2020-01-03,31,meta,cpc,tablet
2020-01-03,2,google,cpm,mobile
2020-01-03,2,lm.facebook.com,referral,mobile
2020-01-03,1,youtube.com,referral,tablet
2020-01-04,2141,rtbhouse,cpc,mobile
2020-01-04,1,youtube,cpv,desktop
2020-01-04,697,email,crm,mobile
2020-01-04,2,l.instagram.com,referral,tablet
2020-01-04,2,l.instagram.com,referral,desktop
2020-01-04,103,l.instagram.com,referral,mobile
2020-01-04,8,dv360,cpm,mobile
2020-01-04,2,dv360,cpm,tablet
2020-01-04,6464,meta,cpc,mobile
2020-01-04,265,google,cpc,tablet
2020-01-04,3583,google,cpc,desktop
2020-01-04,19072,google,cpc,mobile
2020-01-04,5082,google,organic,desktop
2020-01-04,194,email,crm,desktop
2020-01-04,4,lm.facebook.com,referral,mobile
2020-01-04,13,email,crm,tablet
2020-01-04,194,meta,cpc,desktop
2020-01-04,380,google,organic,tablet
2020-01-04,69,m.facebook.com,referral,mobile
2020-01-04,37,meta,cpc,tablet
2020-01-04,100,dv360,cpm,desktop
2020-01-04,6,l.facebook.com,referral,desktop
2020-01-04,2210,rtbhouse,cpc,desktop
2020-01-04,26,rtbhouse,cpc,tablet
2020-01-04,9,l.facebook.com,referral,mobile
2020-01-04,4,youtube.com,referral,mobile
2020-01-04,46,instagram.com,referral,mobile
2020-01-04,120,instagram,organic_social,mobile
2020-01-04,15125,google,organic,mobile
2020-01-04,1,instagram,organic_social,tablet
2020-01-04,4,youtube,cpv,mobile
2020-01-05,84,m.facebook.com,referral,mobile
2020-01-05,235,instagram.com,referral,mobile
2020-01-05,16482,google,organic,mobile
2020-01-05,2,youtube.com,referral,mobile
2020-01-05,3,l.facebook.com,referral,desktop
2020-01-05,7297,meta,cpc,mobile
2020-01-05,4615,google,organic,desktop
2020-01-05,1,l.instagram.com,referral,tablet
2020-01-05,22057,google,cpc,mobile
2020-01-05,8,dv360,cpm,mobile
2020-01-05,99,dv360,cpm,desktop
2020-01-05,8,l.facebook.com,referral,mobile
2020-01-05,29,rtbhouse,cpc,tablet
2020-01-05,95,email,crm,desktop
2020-01-05,44,meta,cpc,tablet
2020-01-05,381,email,crm,mobile
2020-01-05,2,youtube.com,referral,tablet
2020-01-05,3389,google,cpc,desktop
2020-01-05,127,instagram,organic_social,mobile
2020-01-05,426,google,organic,tablet
2020-01-05,7,email,crm,tablet
2020-01-05,4,m.facebook.com,referral,tablet
2020-01-05,149,meta,cpc,desktop
2020-01-05,2501,rtbhouse,cpc,mobile
2020-01-05,100,l.instagram.com,referral,mobile
2020-01-05,1804,rtbhouse,cpc,desktop
2020-01-05,1,lm.facebook.com,referral,mobile
2020-01-05,344,google,cpc,tablet
2020-01-05,2,instagram.com,referral,tablet
2020-01-06,14766,google,organic,mobile
2020-01-06,231,google,cpc,tablet
2020-01-06,2155,rtbhouse,cpc,mobile
2020-01-06,7,dv360,cpm,mobile
2020-01-06,14,l.facebook.com,referral,desktop
2020-01-06,2,m.facebook.com,referral,desktop
2020-01-06,26,rtbhouse,cpc,tablet
2020-01-06,4,dv360,cpm,tablet
2020-01-06,2,lm.facebook.com,referral,mobile
2020-01-06,86,m.facebook.com,referral,mobile
2020-01-06,17551,google,cpc,mobile
2020-01-06,2,m.facebook.com,referral,tablet
2020-01-06,282,meta,cpc,desktop
2020-01-06,184,dv360,cpm,desktop
2020-01-06,336,email,crm,desktop
2020-01-06,4573,rtbhouse,cpc,desktop
2020-01-06,191,instagram.com,referral,mobile
2020-01-06,95,l.instagram.com,referral,mobile
2020-01-06,1,youtube,cpv,mobile
2020-01-06,11,l.facebook.com,referral,mobile
2020-01-06,8,email,crm,tablet
2020-01-06,1,youtube.com,referral,mobile
2020-01-06,1,instagram,organic_social,tablet
2020-01-06,6502,meta,cpc,mobile
2020-01-06,317,google,organic,tablet
2020-01-06,107,instagram,organic_social,mobile
2020-01-06,39,meta,cpc,tablet
2020-01-06,9654,google,organic,desktop
2020-01-06,5658,google,cpc,desktop
2020-01-06,390,email,crm,mobile
2020-01-07,459,email,crm,desktop
2020-01-07,9653,google,organic,desktop
2020-01-07,5,l.facebook.com,referral,mobile
2020-01-07,1,l.instagram.com,referral,tablet
2020-01-07,1736,rtbhouse,cpc,mobile
2020-01-07,5750,meta,cpc,mobile
2020-01-07,14558,google,organic,mobile
2020-01-07,3,l.instagram.com,referral,desktop
2020-01-07,101,l.instagram.com,referral,mobile
2020-01-07,38,meta,cpc,tablet
2020-01-07,2936,rtbhouse,cpc,desktop
2020-01-07,77,m.facebook.com,referral,mobile
2020-01-07,25,rtbhouse,cpc,tablet
2020-01-07,51,instagram,organic_social,mobile
2020-01-07,10,dv360,cpm,mobile
2020-01-07,565,email,crm,mobile
2020-01-07,11,email,crm,tablet
2020-01-07,198,dv360,cpm,desktop
2020-01-07,227,google,cpc,tablet
2020-01-07,166,instagram.com,referral,mobile
2020-01-07,3,youtube.com,referral,mobile
2020-01-07,1,dv360,cpm,tablet
2020-01-07,1,youtube,cpv,tablet
2020-01-07,302,meta,cpc,desktop
2020-01-07,11,l.facebook.com,referral,desktop
2020-01-07,323,google,organic,tablet
2020-01-07,16004,google,cpc,mobile
2020-01-07,5402,google,cpc,desktop
2020-01-07,3,youtube,cpv,mobile
2020-01-07,1,instagram,organic_social,tablet
2020-01-07,1,instagram.com,referral,tablet
2020-01-08,6,google,cpm,desktop
2020-01-08,36,meta,cpc,tablet
2020-01-08,1,l.instagram.com,referral,desktop
2020-01-08,13481,google,organic,mobile
2020-01-08,206,dv360,cpm,desktop
2020-01-08,4,m.facebook.com,referral,tablet
2020-01-08,463,email,crm,desktop
2020-01-08,12,l.facebook.com,referral,desktop
2020-01-08,2441,rtbhouse,cpc,desktop
2020-01-08,1,google,cpm,tablet
2020-01-08,2,instagram,cpc,mobile
2020-01-08,188,instagram.com,referral,mobile
2020-01-08,14,l.facebook.com,referral,mobile
2020-01-08,13,google,cpm,mobile
2020-01-08,5764,meta,cpc,mobile
2020-01-08,60,m.facebook.com,referral,mobile
2020-01-08,294,google,organic,tablet
2020-01-08,122,l.instagram.com,referral,mobile
2020-01-08,12,email,crm,tablet
2020-01-08,5106,google,cpc,desktop
2020-01-08,185,instagram,organic_social,mobile
2020-01-08,205,google,cpc,tablet
2020-01-08,8873,google,organic,desktop
2020-01-08,1725,rtbhouse,cpc,mobile
2020-01-08,15369,google,cpc,mobile
2020-01-08,1,youtube.com,referral,mobile
2020-01-08,332,meta,cpc,desktop
2020-01-08,1,l.instagram.com,referral,tablet
2020-01-08,23,rtbhouse,cpc,tablet
2020-01-08,6,dv360,cpm,mobile
2020-01-08,1,instagram,organic_social,tablet
2020-01-08,4,dv360,cpm,tablet
2020-01-08,605,email,crm,mobile
2020-01-08,1,youtube,cpv,desktop
2020-01-08,1,youtube.com,referral,tablet
2020-01-08,1,instagram,influencer,tablet
2020-01-09,324,meta,cpc,desktop
2020-01-09,89,m.facebook.com,referral,mobile
2020-01-09,15666,google,cpc,mobile
2020-01-09,2,lm.facebook.com,referral,mobile
2020-01-09,5752,meta,cpc,mobile
2020-01-09,192,google,cpc,tablet
2020-01-09,18,l.facebook.com,referral,desktop
2020-01-09,9107,google,organic,desktop
2020-01-09,1,l.facebook.com,referral,tablet
2020-01-09,145,instagram.com,referral,mobile
2020-01-09,2,l.instagram.com,referral,desktop
2020-01-09,2,l.instagram.com,referral,tablet
2020-01-09,5026,google,cpc,desktop
2020-01-09,10,google,cpm,desktop
2020-01-09,1610,rtbhouse,cpc,mobile
2020-01-09,14,google,cpm,mobile
2020-01-09,58,instagram,organic_social,mobile
2020-01-09,2167,rtbhouse,cpc,desktop
2020-01-09,13716,google,organic,mobile
2020-01-09,284,google,organic,tablet
2020-01-09,15,rtbhouse,cpc,tablet
2020-01-09,1,youtube,cpv,mobile
2020-01-09,4,dv360,cpm,tablet
2020-01-09,91,l.instagram.com,referral,mobile
2020-01-09,39,meta,cpc,tablet
2020-01-09,671,email,crm,desktop
2020-01-09,3,m.facebook.com,referral,desktop
2020-01-09,208,dv360,cpm,desktop
2020-01-09,9,email,crm,tablet
2020-01-09,1,youtube.com,referral,mobile
2020-01-09,958,email,crm,mobile
2020-01-09,4,dv360,cpm,mobile
2020-01-09,1,instagram,influencer,desktop
2020-01-09,2,m.facebook.com,referral,tablet
2020-01-09,9,l.facebook.com,referral,mobile
2020-01-10,358,google,organic,tablet
2020-01-10,99,l.instagram.com,referral,mobile
2020-01-10,3,m.facebook.com,referral,tablet
2020-01-10,4113,meta,cpc,mobile
2020-01-10,200,dv360,cpm,desktop
2020-01-10,1261,rtbhouse,cpc,mobile
2020-01-10,14590,google,organic,mobile
2020-01-10,18,google,cpm,mobile
2020-01-10,10,google,cpm,desktop
2020-01-10,16419,google,cpc,mobile
2020-01-10,1,youtube,cpv,mobile
2020-01-10,1130,email,crm,mobile
2020-01-10,1,youtube,organic_social,mobile
2020-01-10,2146,rtbhouse,cpc,desktop
2020-01-10,772,email,crm,desktop
2020-01-10,1,l.facebook.com,referral,tablet
2020-01-10,2,lm.facebook.com,referral,mobile
2020-01-10,12,rtbhouse,cpc,tablet
2020-01-10,10,dv360,cpm,mobile
2020-01-10,8968,google,organic,desktop
2020-01-10,1023,instagram,organic_social,mobile
2020-01-10,6,instagram,organic_social,tablet
2020-01-10,2,l.instagram.com,referral,desktop
2020-01-10,19,instagram,organic_social,desktop
2020-01-10,22,meta,cpc,tablet
2020-01-10,8,l.facebook.com,referral,mobile
2020-01-10,1,youtube.com,referral,mobile
2020-01-10,22,email,crm,tablet
2020-01-10,5060,google,cpc,desktop
2020-01-10,229,google,cpc,tablet
2020-01-10,1,instagram,influencer,desktop
2020-01-10,4,l.instagram.com,referral,tablet
2020-01-10,257,meta,cpc,desktop
2020-01-10,15,l.facebook.com,referral,desktop
2020-01-10,4,dv360,cpm,tablet
2020-01-10,200,m.facebook.com,referral,mobile
2020-01-10,375,instagram.com,referral,mobile
2020-01-11,3147,meta,cpc,mobile
2020-01-11,15,l.facebook.com,referral,mobile
2020-01-11,2,dv360,cpm,tablet
2020-01-11,19503,google,cpc,mobile
2020-01-11,15,rtbhouse,cpc,tablet
2020-01-11,13,instagram,organic_social,tablet
2020-01-11,5189,google,organic,desktop
2020-01-11,1932,instagram,organic_social,mobile
2020-01-11,3,lm.facebook.com,referral,mobile
2020-01-11,11,dv360,cpm,mobile
2020-01-11,4,youtube.com,referral,mobile
2020-01-11,25,instagram,organic_social,desktop
2020-01-11,1041,rtbhouse,cpc,desktop
2020-01-11,1,google,cpm,desktop
2020-01-11,2,m.facebook.com,referral,tablet
2020-01-11,130,meta,cpc,desktop
2020-01-11,169,email,crm,desktop
2020-01-11,16,google,cpm,mobile
2020-01-11,644,instagram.com,referral,mobile
2020-01-11,1,l.instagram.com,referral,tablet
2020-01-11,3599,google,cpc,desktop
2020-01-11,1,instagram.com,referral,tablet
2020-01-11,1346,rtbhouse,cpc,mobile
2020-01-11,5,youtube,cpv,mobile
2020-01-11,599,email,crm,mobile
2020-01-11,271,google,cpc,tablet
2020-01-11,358,google,organic,tablet
2020-01-11,16336,google,organic,mobile
2020-01-11,4,l.facebook.com,referral,desktop
2020-01-11,103,dv360,cpm,desktop
2020-01-11,317,m.facebook.com,referral,mobile
2020-01-11,24,meta,cpc,tablet
2020-01-11,14,email,crm,tablet
2020-01-11,118,l.instagram.com,referral,mobile
2020-01-12,15,l.facebook.com,referral,mobile
2020-01-12,9,rtbhouse,cpc,tablet
2020-01-12,1,youtube,cpv,mobile
2020-01-12,448,google,organic,tablet
2020-01-12,1,dv360,cpm,tablet
2020-01-12,3346,google,cpc,desktop
2020-01-12,882,rtbhouse,cpc,desktop
2020-01-12,108,dv360,cpm,desktop
2020-01-12,6,youtube.com,referral,mobile
2020-01-12,1,lm.facebook.com,referral,tablet
2020-01-12,335,m.facebook.com,referral,mobile
2020-01-12,4,lm.facebook.com,referral,mobile
2020-01-12,3431,meta,cpc,mobile
2020-01-12,2162,instagram,organic_social,mobile
2020-01-12,26,meta,cpc,tablet
2020-01-12,122,meta,cpc,desktop
2020-01-12,21792,google,cpc,mobile
2020-01-12,8,dv360,cpm,mobile
2020-01-12,18247,google,organic,mobile
2020-01-12,733,instagram.com,referral,mobile
2020-01-12,30,instagram,organic_social,desktop
2020-01-12,10,instagram,organic_social,tablet
2020-01-12,4,l.facebook.com,referral,desktop
2020-01-12,2,m.facebook.com,referral,tablet
2020-01-12,1,instagram.com,referral,tablet
2020-01-12,21,google,cpm,mobile
2020-01-12,6,email,crm,tablet
2020-01-12,5131,google,organic,desktop
2020-01-12,338,google,cpc,tablet
2020-01-12,536,email,crm,mobile
2020-01-12,1,l.instagram.com,referral,desktop
2020-01-12,2,google,cpm,tablet
2020-01-12,1,l.instagram.com,referral,tablet
2020-01-12,1388,rtbhouse,cpc,mobile
2020-01-12,147,l.instagram.com,referral,mobile
2020-01-12,1,google,cpm,desktop
2020-01-12,143,email,crm,desktop
2020-01-13,14,rtbhouse,cpc,tablet
2020-01-13,1,m.facebook.com,referral,desktop
2020-01-13,6,youtube,cpv,mobile
2020-01-13,186,meta,cpc,desktop
2020-01-13,19,meta,cpc,tablet
2020-01-13,10,l.facebook.com,referral,desktop
2020-01-13,113,l.instagram.com,referral,mobile
2020-01-13,4,l.facebook.com,referral,mobile
2020-01-13,1,youtube,cpv,desktop
2020-01-13,83,m.facebook.com,referral,mobile
2020-01-13,13,google,cpm,mobile
2020-01-13,1100,rtbhouse,cpc,mobile
2020-01-13,1,youtube.com,referral,desktop
2020-01-13,218,google,cpc,tablet
2020-01-13,1,lm.facebook.com,referral,mobile
2020-01-13,5,dv360,cpm,tablet
2020-01-13,276,google,organic,tablet
2020-01-13,237,instagram,organic_social,mobile
2020-01-13,154,instagram.com,referral,mobile
2020-01-13,8970,google,organic,desktop
2020-01-13,1,m.facebook.com,referral,tablet
2020-01-13,6,dv360,cpm,mobile
2020-01-13,1,instagram,organic_social,tablet
2020-01-13,558,email,crm,desktop
2020-01-13,208,dv360,cpm,desktop
2020-01-13,15789,google,cpc,mobile
2020-01-13,16,email,crm,tablet
2020-01-13,2103,rtbhouse,cpc,desktop
2020-01-13,2,youtube.com,referral,mobile
2020-01-13,3466,meta,cpc,mobile
2020-01-13,622,email,crm,mobile
2020-01-13,3,l.instagram.com,referral,desktop
2020-01-13,1,instagram,cpc,desktop
2020-01-13,13534,google,organic,mobile
2020-01-13,3,google,cpm,tablet
2020-01-13,4954,google,cpc,desktop
2020-01-13,8,google,cpm,desktop
2020-01-13,3,instagram,organic_social,desktop
2020-01-14,3,youtube.com,referral,mobile
2020-01-14,7781,google,organic,desktop
2020-01-14,2,google,cpm,tablet
2020-01-14,2191,rtbhouse,cpc,desktop
2020-01-14,185,google,cpc,tablet
2020-01-14,1,lm.facebook.com,referral,mobile
2020-01-14,209,dv360,cpm,desktop
2020-01-14,249,email,crm,desktop
2020-01-14,21,meta,cpc,tablet
2020-01-14,1,m.facebook.com,referral,desktop
2020-01-14,332,email,crm,mobile
2020-01-14,14025,google,cpc,mobile
2020-01-14,262,google,organic,tablet
2020-01-14,1,instagram,organic_social,tablet
2020-01-14,3066,meta,cpc,mobile
2020-01-14,6,dv360,cpm,mobile
2020-01-14,126,instagram,organic_social,mobile
2020-01-14,13,rtbhouse,cpc,tablet
2020-01-14,2,youtube,cpv,mobile
2020-01-14,126,instagram.com,referral,mobile
2020-01-14,13,google,cpm,mobile
2020-01-14,1137,rtbhouse,cpc,mobile
2020-01-14,11855,google,organic,mobile
2020-01-14,83,l.instagram.com,referral,mobile
2020-01-14,4,l.facebook.com,referral,mobile
2020-01-14,190,meta,cpc,desktop
2020-01-14,9,l.facebook.com,referral,desktop
2020-01-14,4,dv360,cpm,tablet
2020-01-14,7,google,cpm,desktop
2020-01-14,80,m.facebook.com,referral,mobile
2020-01-14,10,email,crm,tablet
2020-01-14,4729,google,cpc,desktop
2020-01-15,405,email,crm,mobile
2020-01-15,131,instagram.com,referral,mobile
2020-01-15,2,m.facebook.com,referral,tablet
2020-01-15,24,meta,cpc,tablet
2020-01-15,3,youtube,cpv,mobile
2020-01-15,2,youtube.com,referral,mobile
2020-01-15,1,youtube,organic_social,mobile
2020-01-15,3888,rtbhouse,cpc,desktop
2020-01-15,1,youtube,cpv,desktop
2020-01-15,1,instagram,organic_social,desktop
2020-01-15,14,l.facebook.com,referral,desktop
2020-01-15,1,instagram,organic_social,tablet
2020-01-15,2970,meta,cpc,mobile
2020-01-15,74,l.instagram.com,referral,mobile
2020-01-15,2,lm.facebook.com,referral,mobile
2020-01-15,67,m.facebook.com,referral,mobile
2020-01-15,102,instagram,organic_social,mobile
2020-01-15,14194,google,cpc,mobile
2020-01-15,55,google,cpm,mobile
2020-01-15,1,l.instagram.com,referral,desktop
2020-01-15,15,email,crm,tablet
2020-01-15,1336,rtbhouse,cpc,mobile
2020-01-15,12412,google,organic,mobile
2020-01-15,7,l.facebook.com,referral,mobile
2020-01-15,273,google,organic,tablet
2020-01-15,1,instagram,influencer,tablet
2020-01-15,215,dv360,cpm,desktop
2020-01-15,1,l.instagram.com,referral,tablet
2020-01-15,6,dv360,cpm,mobile
2020-01-15,158,meta,cpc,desktop
2020-01-15,205,google,cpc,tablet
2020-01-15,11,google,cpm,desktop
2020-01-15,19,rtbhouse,cpc,tablet
2020-01-15,5028,google,cpc,desktop
2020-01-15,359,email,crm,desktop
2020-01-15,7779,google,organic,desktop
2020-01-15,4,dv360,cpm,tablet
2020-01-16,1,m.facebook.com,referral,tablet
2020-01-16,228,instagram.com,referral,mobile
2020-01-16,6,dv360,cpm,tablet
2020-01-16,8520,google,organic,desktop
2020-01-16,1751,rtbhouse,cpc,mobile
2020-01-16,93,m.facebook.com,referral,mobile
2020-01-16,3824,meta,cpc,mobile
2020-01-16,188,instagram,organic_social,mobile
2020-01-16,4,m.facebook.com,referral,desktop
2020-01-16,788,email,crm,mobile
2020-01-16,214,dv360,cpm,desktop
2020-01-16,11,google,cpm,desktop
2020-01-16,1,youtube.com,referral,mobile
2020-01-16,13356,google,organic,mobile
2020-01-16,15,instagram,organic_social,desktop
2020-01-16,170,meta,cpc,desktop
2020-01-16,214,google,cpc,tablet
2020-01-16,14,email,crm,tablet
2020-01-16,60,dv360,cpm,mobile
2020-01-16,24,rtbhouse,cpc,tablet
2020-01-16,1,lm.facebook.com,referral,mobile
2020-01-16,9,l.facebook.com,referral,desktop
2020-01-16,2,l.instagram.com,referral,desktop
2020-01-16,30,meta,cpc,tablet
2020-01-16,117,l.instagram.com,referral,mobile
2020-01-16,5109,google,cpc,desktop
2020-01-16,15253,google,cpc,mobile
2020-01-16,1,youtube.com,referral,desktop
2020-01-16,1,l.instagram.com,referral,tablet
2020-01-16,47,google,cpm,mobile
2020-01-16,1,instagram.com,referral,tablet
2020-01-16,287,google,organic,tablet
2020-01-16,2,youtube,cpv,mobile
2020-01-16,11,l.facebook.com,referral,mobile
2020-01-16,3,instagram,cpc,mobile
2020-01-16,4414,rtbhouse,cpc,desktop
2020-01-16,579,email,crm,desktop
2020-01-17,627,email,crm,desktop
2020-01-17,206,dv360,cpm,mobile
2020-01-17,97,l.instagram.com,referral,mobile
2020-01-17,3,youtube,cpv,mobile
2020-01-17,2,lm.facebook.com,referral,mobile
2020-01-17,25,meta,cpc,tablet
2020-01-17,225,google,cpc,tablet
2020-01-17,137,google,cpm,mobile
2020-01-17,4534,google,cpc,desktop
2020-01-17,20,google,cpm,desktop
2020-01-17,11,m.facebook.com,referral,desktop
2020-01-17,221,dv360,cpm,desktop
2020-01-17,1059,instagram,organic_social,mobile
2020-01-17,1,l.facebook.com,referral,tablet
2020-01-17,3,google,cpm,tablet
2020-01-17,205,m.facebook.com,referral,mobile
2020-01-17,13797,google,organic,mobile
2020-01-17,8436,google,organic,desktop
2020-01-17,13,l.facebook.com,referral,mobile
2020-01-17,2,youtube.com,referral,desktop
2020-01-17,1,youtube,cpv,desktop
2020-01-17,440,instagram.com,referral,mobile
2020-01-17,3577,meta,cpc,mobile
2020-01-17,1427,rtbhouse,cpc,mobile
2020-01-17,7,l.facebook.com,referral,desktop
2020-01-17,2715,rtbhouse,cpc,desktop
2020-01-17,195,meta,cpc,desktop
2020-01-17,18,email,crm,tablet
2020-01-17,10,instagram,organic_social,tablet
2020-01-17,1,m.facebook.com,referral,tablet
2020-01-17,19,rtbhouse,cpc,tablet
2020-01-17,15426,google,cpc,mobile
2020-01-17,297,google,organic,tablet
2020-01-17,901,email,crm,mobile
2020-01-17,5,dv360,cpm,tablet
2020-01-17,18,instagram,organic_social,desktop
2020-01-18,129,dv360,cpm,desktop
2020-01-18,719,email,crm,mobile
2020-01-18,2,lm.facebook.com,referral,mobile
2020-01-18,3,youtube.com,referral,mobile
2020-01-18,19480,google,cpc,mobile
2020-01-18,1,l.instagram.com,referral,tablet
2020-01-18,380,google,organic,tablet
2020-01-18,2,m.facebook.com,referral,tablet
2020-01-18,30,meta,cpc,tablet
2020-01-18,18854,google,organic,mobile
2020-01-18,396,instagram.com,referral,mobile
2020-01-18,5,instagram,organic_social,tablet
2020-01-18,138,google,cpm,mobile
2020-01-18,211,l.instagram.com,referral,mobile
2020-01-18,13,rtbhouse,cpc,tablet
2020-01-18,4012,meta,cpc,mobile
2020-01-18,955,rtbhouse,cpc,desktop
2020-01-18,150,meta,cpc,desktop
2020-01-18,3303,google,cpc,desktop
2020-01-18,192,email,crm,desktop
2020-01-18,153,dv360,cpm,mobile
2020-01-18,279,google,cpc,tablet
2020-01-18,4,google,cpm,tablet
2020-01-18,12,google,cpm,desktop
2020-01-18,17,l.facebook.com,referral,mobile
2020-01-18,2,instagram.com,referral,tablet
2020-01-18,12,l.facebook.com,referral,desktop
2020-01-18,5474,google,organic,desktop
2020-01-18,12,email,crm,tablet
2020-01-18,1081,instagram,organic_social,mobile
2020-01-18,9,instagram,organic_social,desktop
2020-01-18,173,m.facebook.com,referral,mobile
2020-01-18,22,m.facebook.com,referral,desktop
2020-01-18,8,dv360,cpm,tablet
2020-01-18,1283,rtbhouse,cpc,mobile
2020-01-19,1,dv360,cpm,tablet
2020-01-19,2937,google,cpc,desktop
2020-01-19,305,google,cpc,tablet
2020-01-19,5110,meta,cpc,mobile
2020-01-19,108,dv360,cpm,desktop
2020-01-19,2,instagram,organic_social,desktop
2020-01-19,3,lm.facebook.com,referral,mobile
2020-01-19,2,instagram,influencer,mobile
2020-01-19,20,meta,cpc,tablet
2020-01-19,3,instagram,organic_social,tablet
2020-01-19,1,youtube,organic_social,mobile
2020-01-19,12,l.facebook.com,referral,desktop
2020-01-19,133,meta,cpc,desktop
2020-01-19,1234,rtbhouse,cpc,mobile
2020-01-19,341,instagram.com,referral,mobile
2020-01-19,525,email,crm,mobile
2020-01-19,4,youtube.com,referral,desktop
2020-01-19,907,rtbhouse,cpc,desktop
2020-01-19,6,email,crm,tablet
2020-01-19,153,google,cpm,mobile
2020-01-19,5,m.facebook.com,referral,desktop
2020-01-19,124,email,crm,desktop
2020-01-19,1,m.facebook.com,referral,tablet
2020-01-19,4804,google,organic,desktop
2020-01-19,445,google,organic,tablet
2020-01-19,16,l.facebook.com,referral,mobile
2020-01-19,705,instagram,organic_social,mobile
2020-01-19,4,youtube.com,referral,mobile
2020-01-19,19936,google,organic,mobile
2020-01-19,311,l.instagram.com,referral,mobile
2020-01-19,15,google,cpm,desktop
2020-01-19,5,google,cpm,tablet
2020-01-19,18,dv360,cpm,mobile
2020-01-19,18,rtbhouse,cpc,tablet
2020-01-19,20713,google,cpc,mobile
2020-01-19,1,instagram.com,referral,tablet
2020-01-19,110,m.facebook.com,referral,mobile
